City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
105,Lorengau,PG,81.91,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
109,Gorontalo,ID,78.93,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
112,Manggar,ID,84.25,overcast clouds,-2.8833,108.2667,Guest Hotel
113,Makakilo City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
114,Sao Filipe,CV,72.86,clear sky,14.8961,-24.4956,Hotel Xaguate
115,Kilembe,UG,75.02,light rain,0.2,30.0,Mbunga Community Campsite
117,Camopi,GF,72.63,light rain,3.1655,-52.3158,La pousada
118,Sinnamary,GF,74.8,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
119,Mackay,AU,73.38,clear sky,-21.15,149.2,International Lodge Motel
126,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
127,Kota Kinabalu,MY,88.88,few clouds,5.9749,116.0724,Gaya Centre Hotel
128,Atuona,PF,79.2,few clouds,-9.8,-139.0333,Villa Enata
130,Takoradi,GH,85.15,overcast clouds,4.8845,-1.7554,Raybow International Hotel
131,Cape Town,ZA,78.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
136,Sao Jose Da Coroa Grande,BR,78.87,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
141,Kentau,KZ,76.05,light rain,43.5206,68.5094,Safary
142,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
149,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
153,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
163,Hilo,US,72.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
164,Kruisfontein,ZA,81.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
165,Bredasdorp,ZA,72.37,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
167,Ghanzi,BW,72.54,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
168,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
169,Macau,MO,78.6,clear sky,22.2006,113.5461,Grand Emperor Hotel
172,Shache,CN,85.3,scattered clouds,38.4167,77.2406,Delong Hotel
174,Dzaoudzi,YT,87.69,few clouds,-12.7887,45.2699,Le Rocher
178,Acarau,BR,77.18,overcast clouds,-2.8856,-40.12,castelo pizzaria
179,Praia,CV,73.08,broken clouds,14.9215,-23.5087,LT Aparthotel
181,Knysna,ZA,72.09,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
183,Omboue,GA,85.66,overcast clouds,-1.5746,9.2618,Hotel Olako
185,Oussouye,SN,73.58,scattered clouds,12.485,-16.5469,Auberge du Routard
188,Siva,EG,79.21,scattered clouds,29.2041,25.5195,Qasr Alzaytuna Inn
190,Arraial Do Cabo,BR,71.46,mist,-22.9661,-42.0278,Pousada Porto Praia
193,Nouadhibou,MR,71.58,scattered clouds,20.931,-17.0347,El Medina
197,Teahupoo,PF,75.16,broken clouds,-17.8333,-149.2667,Vanira Lodge
198,Korla,CN,85.37,clear sky,41.7597,86.1469,Gulisitan Hotel
200,Eirunepe,BR,71.29,overcast clouds,-6.6603,-69.8736,Atrás de você
